UpperLimit,LowerLimit,timestamp
38312.03759148676,-5096.787591486765,2014-09-04T02:00:00.000+02:00
40226.27346359212,-3941.3567969254545,2014-09-05T02:00:00.000+02:00
40378.73960930426,-3534.947942637602,2014-09-06T02:00:00.000+02:00
33171.149517401514,-3922.6078507348448,2014-09-07T02:00:00.000+02:00
35719.25546531969,-5869.797131986363,2014-09-08T02:00:00.000+02:00
37296.6130352859,-6028.738035285904,2014-09-09T02:00:00.000+02:00
37846.594936642345,-5553.469936642345,2014-09-10T02:00:00.000+02:00
38329.91093324538,-4940.0775999120415,2014-09-11T02:00:00.000+02:00
40016.62719991432,-4302.543866580989,2014-09-12T02:00:00.000+02:00
40529.99053550129,-3141.4072021679494,2014-09-13T02:00:00.000+02:00
33177.21082041201,-3860.5024870786783,2014-09-14T02:00:00.000+02:00
35595.39391272547,-6572.477246058801,2014-09-15T02:00:00.000+02:00
37934.56537535789,-7088.898708691218,2014-09-16T02:00:00.000+02:00
37328.23294054386,-6085.066273877188,2014-09-17T02:00:00.000+02:00
38003.54851166764,-5135.923511667639,2014-09-18T02:00:00.000+02:00
39661.15473463182,-4192.279734631818,2014-09-19T02:00:00.000+02:00
39299.254534875465,-3019.087868208804,2014-09-20T02:00:00.000+02:00
27793.919891359335,-1988.8365580260052,2014-09-21T02:00:00.000+02:00
32671.45914949663,-5161.2508161632995,2014-09-22T02:00:00.000+02:00
33408.93114046551,-5843.306140465509,2014-09-23T02:00:00.000+02:00
33532.16024443173,-4774.993577765066,2014-09-24T02:00:00.000+02:00
34776.17484684404,-4517.716513510712,2014-09-25T02:00:00.000+02:00
38040.71088471958,-4677.085884719574,2014-09-26T02:00:00.000+02:00
38899.79800194988,-2948.3396686165433,2014-09-27T02:00:00.000+02:00
31282.17509100214,-3304.92509100214,2014-09-28T02:00:00.000+02:00
33405.331825956695,-5872.915159290025,2014-09-29T02:00:00.000+02:00
36646.474709883376,-6560.974709883376,2014-09-30T02:00:00.000+02:00
37694.97847361611,-6105.436806949443,2014-10-01T02:00:00.000+02:00
38131.95487434107,-5261.454874341067,2014-10-02T02:00:00.000+02:00
38795.759633226124,-3651.8846332261237,2014-10-03T02:00:00.000+02:00
38175.811783701116,-3943.10345036778,2014-10-04T02:00:00.000+02:00
30197.80424167328,-3309.3459083399484,2014-10-05T02:00:00.000+02:00
34887.17038773327,-6581.212054399935,2014-10-06T02:00:00.000+02:00
36946.7904955359,-6754.082162202563,2014-10-07T02:00:00.000+02:00
38081.45029535753,-6585.700295357532,2014-10-08T02:00:00.000+02:00
39460.93531416131,-5610.2686474946495,2014-10-09T02:00:00.000+02:00
39369.32416873627,-3622.574168736268,2014-10-10T02:00:00.000+02:00
39872.76264282553,-2165.220976158864,2014-10-11T02:00:00.000+02:00
31512.11292960887,-2311.2379296088693,2014-10-12T02:00:00.000+02:00
33150.364297606204,-6235.6559642728735,2014-10-13T02:00:00.000+02:00
36402.17724749979,-6559.4689141664585,2014-10-14T02:00:00.000+02:00
37974.12442572017,-6305.4160923868385,2014-10-15T02:00:00.000+02:00
39924.000655094685,-5775.500655094682,2014-10-16T02:00:00.000+02:00
39984.93103835278,-3947.0143716861166,2014-10-17T02:00:00.000+02:00
40835.90151727029,-2841.6515172702966,2014-10-18T02:00:00.000+02:00
34315.56075492826,-4234.060754928258,2014-10-19T02:00:00.000+02:00
35184.31616903364,-6467.316169033642,2014-10-20T02:00:00.000+02:00
37767.833176700115,-6937.416510033445,2014-10-21T02:00:00.000+02:00
37893.40357661416,-5987.4869099474945,2014-10-22T02:00:00.000+02:00
39046.485632012205,-5528.527298678873,2014-10-23T02:00:00.000+02:00
40071.660193414915,-4152.451860081579,2014-10-24T02:00:00.000+02:00
40004.13694492476,-3077.220278258097,2014-10-25T02:00:00.000+02:00
32018.149934764773,-2549.2803695473813,2014-10-26T02:00:00.000+02:00
34788.72304694878,-6333.889713615446,2014-10-27T01:00:00.000+01:00
36310.47365209546,-6371.640318762127,2014-10-28T01:00:00.000+01:00
37672.48184807215,-6386.148514738821,2014-10-29T01:00:00.000+01:00
38505.021065245724,-5591.562731912389,2014-10-30T01:00:00.000+01:00
39342.997726416186,-3832.789393082847,2014-10-31T01:00:00.000+01:00
40749.33414153465,268.37419179868084,2014-11-01T01:00:00.000+01:00
37201.89303905383,-7189.309705720496,2014-11-02T01:00:00.000+01:00
34671.196484286695,-6076.488150953361,2014-11-03T01:00:00.000+01:00
35232.65419574575,-6030.445862412422,2014-11-04T01:00:00.000+01:00
36828.79194727204,-5955.375280605369,2014-11-05T01:00:00.000+01:00
38344.440529225016,-5564.940529225019,2014-11-06T01:00:00.000+01:00
40184.07898796073,-5358.745654627401,2014-11-07T01:00:00.000+01:00
41076.11928181744,-3266.2442818174386,2014-11-08T01:00:00.000+01:00
33194.828188799824,-2841.7031887998237,2014-11-09T01:00:00.000+01:00
34151.57329503483,-6041.114961701498,2014-11-10T01:00:00.000+01:00
33628.436214375615,-6055.936214375615,2014-11-11T01:00:00.000+01:00
36852.21722941917,-6356.4255627525035,2014-11-12T01:00:00.000+01:00
38116.803786824996,-5933.262120158326,2014-11-13T01:00:00.000+01:00
40160.71868034324,-5260.218680343238,2014-11-14T01:00:00.000+01:00
40341.13688705322,-3395.9702203865563,2014-11-15T01:00:00.000+01:00
33120.37586575246,-3129.3758657524595,2014-11-16T01:00:00.000+01:00
33022.89330129509,-5445.934967961757,2014-11-17T01:00:00.000+01:00
38475.38081390113,-7339.714147234461,2014-11-18T01:00:00.000+01:00
37426.0380680391,-6097.246401372433,2014-11-19T01:00:00.000+01:00
37748.13363796201,-5827.008637962012,2014-11-20T01:00:00.000+01:00
40010.856806261465,-4964.940139594801,2014-11-21T01:00:00.000+01:00
40865.77318259537,-3389.3148492620276,2014-11-22T01:00:00.000+01:00
32146.38676577089,-3064.0117657708906,2014-11-23T01:00:00.000+01:00
32618.005793420336,-5206.922460087006,2014-11-24T01:00:00.000+01:00
33031.782143555574,-4625.407143555574,2014-11-25T01:00:00.000+01:00
33256.24630543607,-3290.0379721027402,2014-11-26T01:00:00.000+01:00
21981.73858798854,-490.78025465521023,2014-11-27T01:00:00.000+01:00
33546.5700123149,-7294.61167898157,2014-11-28T01:00:00.000+01:00
35132.92770671967,-5449.0110400529975,2014-11-29T01:00:00.000+01:00
28249.812299935533,-2715.937299935531,2014-11-30T01:00:00.000+01:00
33704.880397335684,-6182.380397335681,2014-12-01T01:00:00.000+01:00
36938.43207141344,-6788.223738080107,2014-12-02T01:00:00.000+01:00
35638.48117122788,-5431.314504561213,2014-12-03T01:00:00.000+01:00
36754.410055150845,-4778.660055150842,2014-12-04T01:00:00.000+01:00
39210.33756634971,-4228.3792330163815,2014-12-05T01:00:00.000+01:00
41644.76816210919,-4221.143162109191,2014-12-06T01:00:00.000+01:00
35492.0036236504,-3976.128623650402,2014-12-07T01:00:00.000+01:00
36130.22263712863,-6382.180970461961,2014-12-08T01:00:00.000+01:00
35409.47313960648,-5481.014806273148,2014-12-09T01:00:00.000+01:00
36167.96713290273,-5425.675466236064,2014-12-10T01:00:00.000+01:00
37328.934898658794,-4707.9765653254635,2014-12-11T01:00:00.000+01:00
38224.35800285778,-3185.233002857778,2014-12-12T01:00:00.000+01:00
39699.88175980686,-3055.798426473528,2014-12-13T01:00:00.000+01:00
33170.39748212139,-2960.0224821213887,2014-12-14T01:00:00.000+01:00
33575.06780052734,-5269.567800527333,2014-12-15T01:00:00.000+01:00
36062.20000219431,-5761.78333552764,2014-12-16T01:00:00.000+01:00
36764.62919363602,-5093.379193636021,2014-12-17T01:00:00.000+01:00
38254.4515606523,-4692.576560652298,2014-12-18T01:00:00.000+01:00
39232.30629268251,-3145.806292682508,2014-12-19T01:00:00.000+01:00
38775.50343169577,-2846.336765029104,2014-12-20T01:00:00.000+01:00
31987.465196687735,-2906.756863354405,2014-12-21T01:00:00.000+01:00
32198.2856270279,-5342.702293694567,2014-12-22T01:00:00.000+01:00
31130.73039087843,-4137.688724211765,2014-12-23T01:00:00.000+01:00
29324.07256178202,-4323.8642284486905,2014-12-24T01:00:00.000+01:00
18187.691446927194,-2746.066446927194,2014-12-25T01:00:00.000+01:00
27603.084794982373,-6241.168128315707,2014-12-26T01:00:00.000+01:00
28862.11031165826,-4143.86031165826,2014-12-27T01:00:00.000+01:00
25244.388775577107,-1933.0554422437763,2014-12-28T01:00:00.000+01:00
30388.197614594115,-5699.655947927446,2014-12-29T01:00:00.000+01:00
33344.27086629483,-5748.729199628158,2014-12-30T01:00:00.000+01:00
38363.372664380986,-7938.497664380986,2014-12-31T01:00:00.000+01:00
32184.300769502122,-4879.800769502122,2015-01-01T01:00:00.000+01:00
32680.013916458385,-6644.138916458385,2015-01-02T01:00:00.000+01:00
34827.556479028986,-4662.681479028986,2015-01-03T01:00:00.000+01:00
25641.769172269014,-3068.8108389356803,2015-01-04T01:00:00.000+01:00
31022.466455431742,-5960.966455431742,2015-01-05T01:00:00.000+01:00
32697.880771441887,-6320.880771441887,2015-01-06T01:00:00.000+01:00
37103.24320622165,-7553.659872888316,2015-01-07T01:00:00.000+01:00
38496.069023512486,-7181.610690179152,2015-01-08T01:00:00.000+01:00
39251.9144417749,-7169.8727751082315,2015-01-09T01:00:00.000+01:00
42806.600527810886,-5409.683861144222,2015-01-10T01:00:00.000+01:00
32305.427972846985,-3980.6779728469846,2015-01-11T01:00:00.000+01:00
33318.0441397572,-6080.87747309053,2015-01-12T01:00:00.000+01:00
38070.29103186251,-7467.791031862504,2015-01-13T01:00:00.000+01:00
36464.78577419156,-6274.910774191558,2015-01-14T01:00:00.000+01:00
37594.72399576883,-6453.932329102159,2015-01-15T01:00:00.000+01:00
40122.69386328175,-6141.402196615083,2015-01-16T01:00:00.000+01:00
38551.593065270834,-3912.2597319374945,2015-01-17T01:00:00.000+01:00
33579.855053241816,-3835.8967199084855,2015-01-18T01:00:00.000+01:00
29033.81398059486,-5402.022313928193,2015-01-19T01:00:00.000+01:00
34594.75459360655,-6930.1712602732205,2015-01-20T01:00:00.000+01:00
36156.51902190267,-6727.89402190267,2015-01-21T01:00:00.000+01:00
38078.8665981777,-6913.491598177701,2015-01-22T01:00:00.000+01:00
38839.162004417834,-5431.037004417834,2015-01-23T01:00:00.000+01:00
37819.86478868332,-4431.82312201666,2015-01-24T01:00:00.000+01:00
31369.014664509785,-3982.4729978431187,2015-01-25T01:00:00.000+01:00
25309.7667163221,-10156.183382988766,2015-01-26T01:00:00.000+01:00
18040.325726509698,-7983.159059843031,2015-01-27T01:00:00.000+01:00
33357.77906113777,-7121.029061137771,2015-01-28T01:00:00.000+01:00
35836.73815071665,-6140.154817383316,2015-01-29T01:00:00.000+01:00
41091.860742869365,-6755.402409536033,2015-01-30T01:00:00.000+01:00
41439.58060530575,-4542.319735740537,2015-01-31T01:00:00.000+01:00
